pageid,title,wikibase_item,biography
23073137,Houston We Are GO,Q10336578,FALSE
21338647,In the Hands of God,Q10301847,FALSE
6223148,Love Liberty Disco,Q6690950,FALSE
48912841,Love Riot (Newsboys album),Q23013710,FALSE
37086263,Newsboys Live in Concert: God's Not Dead,Q14078562,FALSE
8525765,Newsboys Remixed,Q10336579,FALSE
6279104,Not Ashamed,Q7062051,FALSE
39826343,Restart (Newsboys album),Q17015291,FALSE
1603470,Step Up to the Microphone,Q7608005,FALSE
4518356,Take Me to Your Leader (Newsboys album),Q10377904,FALSE
6223527,Thrive (Newsboys album),Q7798297,FALSE
6013013,Lift (Shannon Noll album),Q6545598,FALSE
34399631,A Million Suns,Q4658257,FALSE
67780097,Raw (Shannon Noll album),Q107185548,FALSE
540818,That's What I'm Talking About,Q7711040,FALSE
12689452,Turn It Up (Shannon Noll album),Q7855674,FALSE
55989129,Unbroken (Shannon Noll album),Q48803188,FALSE
31484965,Orianthi discography,Q28223913,FALSE
24825742,Believe (Orianthi album),Q2894460,FALSE
38416167,Heaven in This Hell,Q3784030,FALSE
57440417,Radio Free America (album),Q42412815,FALSE
55922264,Rise (RSO EP),Q48801052,FALSE
71396084,Rock Candy (album),Q113493174,FALSE
24918357,Violet Journey,Q4013835,FALSE
68136126,9 (Pond album),Q108365459,FALSE
53694169,Corridors of Blissterday,Q29831569,FALSE
59656016,Tasmania (album),Q60770952,FALSE
50153348,Another Place (Rick Price album),Q25096210,FALSE
55044618,California Dreaming (Rick Price and Jack Jones album),Q39074323,FALSE
21989711,Heaven Knows (Rick Price album),Q16977067,FALSE
49962100,Tamborine Mountain (album),Q25096029,FALSE
50020028,Tennessee Sky,Q23763221,FALSE
50020170,The Water's Edge,Q24037623,FALSE
9137556,ALIVE in Florida,Q4652382,FALSE
4908085,Christmas (Rebecca St. James album),Q5111279,FALSE
69211469,Dawn (Rebecca St. James EP),Q109667837,FALSE
4908252,God (Rebecca St. James album),Q59939,FALSE
1921683,!Hero,Q3596099,FALSE
30449357,I Will Praise You,Q5979821,FALSE
3949731,If I Had One Chance to Tell You Something,Q5990454,FALSE
69792174,Kingdom Come (Rebecca St. James album),Q111165311,FALSE
4883544,Pray (Rebecca St. James album),Q7238950,FALSE
4898519,Rebecca St. James (album),Q7301941,FALSE
5789395,Rebecca St. James: Extended Play Remixes,Q7301939,FALSE
4975664,Refresh My Heart,Q7307589,FALSE
4712860,Transform (Rebecca St. James album),Q7834068,FALSE
20088780,The Ultimate Collection (Rebecca St. James album),Q7771124,FALSE
4907736,Wait for Me: The Best from Rebecca St. James,Q7960411,FALSE
4438337,Worship God,Q7461368,FALSE
12723665,The Barnicles & Stripes EP,Q7715663,FALSE
17732779,Engineering the Soul,Q5377905,FALSE
12723538,Perfect Distraction,Q7167973,FALSE
33082771,Nothing but the Truth (Southern Sons album),Q7062733,FALSE
33082014,Southern Sons (album),Q7570480,FALSE
36539737,Train Tracks (EP),Q7832877,FALSE
33082923,Zone (album),Q8073894,FALSE
55545427,Don't Throw Stones,Q43303073,FALSE
55537102,Reckless (The Sports album),Q47496011,FALSE
55545504,Sondra (album),Q48837802,FALSE
55545486,Suddenly (The Sports album),Q48837799,FALSE
24549586,Fall into Place,Q5432137,FALSE
656104,Eight Step Rail,Q5349017,FALSE
656110,Jet Age (Superjesus album),Q6188789,FALSE
656102,Sumo (album),Q7638003,FALSE
57123389,Sumo II,Q55634199,FALSE
4363172,Whatever Will Be,Q7991752,FALSE
53538197,'Cos Life Hurts,Q29324711,FALSE
53538352,What You Give Is What You Get (album),Q30601794,FALSE
18183925,Losing Sleep (Axle Whitehead album),Q6683655,FALSE
5005884,Bite Your Tongue,Q4918818,FALSE
53701815,Black Eyed Bruiser (album),Q30602894,FALSE
25789950,Hard Road (Stevie Wright album),Q5655353,FALSE
17367361,The Memphis Tour,Q7750983,FALSE
21508717,Banana Moon,Q3491611,FALSE
38562436,Hit Men,Q5871410,FALSE
25963452,Now Is the Happiest Time of Your Life,Q7065391,FALSE
24118921,The Owl and the Tree,Q3522146,FALSE
38561700,Who's Afraid?,Q7997003,FALSE
50188113,Bloom (Caligula's Horse album),Q25096250,FALSE
50227691,Colossus (EP),Q25096277,FALSE
55236617,In Contact,Q65090564,FALSE
50227404,Moments from Ephemeral City,Q24037632,FALSE
64064166,Rise Radiant,Q96340918,FALSE
50226783,"The Tide, the Thief & River's End",Q24037388,FALSE
21934038,First Temple (album),Q8563376,FALSE
20107990,The Penance and the Patience,Q7756517,FALSE
42293848,Pink Lemonade (album),Q17021761,FALSE
20233284,Just Visiting (Cog album),Q6316417,FALSE
3018835,The New Normal (album),Q7753691,FALSE
16096438,Sharing Space,Q7489736,FALSE
17540643,Dardanelles (EP),Q5222420,FALSE
17540164,Mirror Mirror (Dardanelles album),Q16952418,FALSE
40660764,Bānhūs,Q16243160,FALSE
30963121,The Good Fight for Harmony,Q7737210,FALSE
30959031,Hollow Be My Name,Q5881706,FALSE
41923334,Cadmium (album),Q16245140,FALSE
26827781,Sky (Sky album),Q7537220,FALSE
32128126,Sky 2 (album),Q17035285,FALSE
37928240,Sky 3 (album),Q7537228,FALSE
42034000,Sky 4: Forthcoming,Q17035294,FALSE
41913699,Sky Five Live,Q17035311,FALSE
64580520,The Electric Hippies,Q97515048,FALSE
71702437,Changes (King Gizzard & the Lizard Wizard album),Q115095651,FALSE
72768251,Demos Vol. 1 + Vol. 2,Q116507502,FALSE
71701822,"Ice, Death, Planets, Lungs, Mushrooms and Lava",Q114088762,FALSE
71702409,Laminated Denim,Q114585743,FALSE
69579532,Made in Timeland,Q111115393,FALSE
72788249,Teenage Gizzard,Q117771437,FALSE
36570725,Alone (The Morning After Girls album),Q4734367,FALSE
7606086,Shadows Evolve,Q7460786,FALSE
18429033,Different Like You,Q5275294,FALSE
15035798,23 (The Silents EP),Q4631551,FALSE
15035628,Flicker and Flames,Q5459083,FALSE
16689201,Things to Learn,Q7784421,FALSE
50808628,"As Above, So Below (Stonefield album)",Q25097013,FALSE
50760538,Stonefield (album),Q25096952,FALSE
6443266,Bitter & Twisted (album),Q4918974,FALSE
6444733,Road Rage (EP),Q7339371,FALSE
6443988,Say It to My Face (album),Q7428975,FALSE
6444340,Torn Apart (album),Q7825954,FALSE
70558852,Aussie Christmas with Bucko & Champs,Q111939744,FALSE
70558923,Aussie Christmas with Bucko & Champs 2,Q111915664,FALSE
33715859,Born Is the King,Q4945826,FALSE
2974018,Celebrating Christmas,Q5057605,FALSE
1569871,Christmas (Hillsong album),Q5111266,FALSE
61964310,Christmas Vol. 1,Q85752276,FALSE
61964585,Christmas Vol. 2,Q85752278,FALSE
59734408,Hey Rudolph!,Q60793291,FALSE
62642863,It's Christmas (Planetshakers album),Q76820725,FALSE
72377259,A Philly Special Christmas,Q115813446,FALSE
8258534,The Spirit of Christmas 1993,Q7765914,FALSE
8258508,The Spirit of Christmas 1994,Q7765915,FALSE
8258443,The Spirit of Christmas 1996,Q7765918,FALSE
8258396,The Spirit of Christmas 1998,Q7765919,FALSE
8258366,The Spirit of Christmas 1999,Q7765920,FALSE
8258333,The Spirit of Christmas 2000,Q7765921,FALSE
8258274,The Spirit of Christmas 2001,Q7765922,FALSE
8258226,The Spirit of Christmas 2002,Q7765923,FALSE
8258177,The Spirit of Christmas 2003,Q7765924,FALSE
8258124,The Spirit of Christmas 2004,Q7765925,FALSE
8258051,The Spirit of Christmas 2005,Q7765927,FALSE
8257938,The Spirit of Christmas 2006,Q7765928,FALSE
14712709,The Spirit of Christmas 2007,Q7765929,FALSE
25085881,The Spirit of Christmas 2008,Q7765930,FALSE
25086871,The Spirit of Christmas 2009,Q7765931,FALSE
8257649,The Spirit of Christmas (album series),Q7765913,FALSE
37260430,We Have a Saviour,Q7977601,FALSE
26641382,Feel Good (Che'Nelle album),Q5441279,FALSE
32828140,Luv Songs,Q6706097,FALSE
12908627,Things Happen for a Reason,Q7784375,FALSE
46755583,Choose Your Weapon,Q20054219,FALSE
67307519,Mood Valiant,Q108131283,FALSE
69458136,FutureNever,Q111810078,FALSE
52958223,Talk (Daniel Johns album),Q65090331,FALSE
64986278,Nyaaringu,Q99134044,FALSE
36170328,Inspire (Jack Vidgen album),Q97202332,FALSE
33029922,Yes I Am (Jack Vidgen album),Q5675480,FALSE
53190436,Hex (Hex album),Q53951954,FALSE
47213214,Inanimate Objects,Q20856936,FALSE
40955394,When It Was Now,Q17059250,FALSE
28117768,Birds of Tokyo (album),Q4916111,FALSE
17192117,Birds of Tokyo (EP),Q4916112,FALSE
51694649,Brace (album),Q28429751,FALSE
10748931,Day One (Birds of Tokyo album),Q5242856,FALSE
63297183,Human Design (album),Q96381399,FALSE
38676140,March Fires,Q6756845,FALSE
18296899,Universes (album),Q7894219,FALSE
35765880,Dancing with a Dead Man,Q5215589,FALSE
35765717,"Hold, Hold, Fire",Q5879085,FALSE
42151737,Raise the People,Q16872736,FALSE
70117709,Camp Cope (album),Q111168596,FALSE
56410847,How to Socialise & Make Friends,Q53722734,FALSE
70121166,Running with the Hurricane,Q119932414,FALSE
14475759,Go! (Cartman album),Q5574517,FALSE
2828859,Dallas Crane (album),Q5211308,FALSE
6883351,Factory Girls (album),Q5428770,FALSE
4233868,Lent (album),Q6523274,FALSE
2883526,Twenty Four Seven (Dallas Crane album),Q7857792,FALSE
33911948,Music's in Trouble,Q6941379,FALSE
33877682,The Only Way Is Up (EP),Q7755156,FALSE
33877791,The Very Next Of,Q16956112,FALSE
58730508,Anon (album),Q60838651,FALSE
48094756,Dissonants,Q22949466,FALSE
35899905,Ground Dweller,Q5610854,FALSE
40221217,Unimagine,Q17040137,FALSE
72713355,Mess (The Hard Aches album),Q116413506,FALSE
72729963,Pheromones (The Hard Aches album),Q116449359,FALSE
60047691,Delirium Tremens (Mick Harvey album),Q65076019,FALSE
39652491,Four (Acts of Love),Q17005477,FALSE
6997792,Intoxicated Man,Q3153681,FALSE
52112417,Intoxicated Women,Q55392975,FALSE
6998407,One Man's Treasure,Q3891080,FALSE
6998121,Pink Elephants,Q3789169,FALSE
60053810,Sketches from the Book of the Dead,Q65076393,FALSE
31621576,Two of Diamonds (album),Q7859408,FALSE
6406496,Heart Attacks and Callous Acts,Q5691889,FALSE
12983815,Ringing in the Sane,Q7334898,FALSE
6406380,Streets Become Hallways,Q7623120,FALSE
13671367,Beethoven's Fist,Q4880177,FALSE
12996718,The Cave Comes Alive!,Q7721783,FALSE
13012117,Headcleaner (album),Q5689532,FALSE
13014017,Volatile (The Lime Spiders album),Q7939988,FALSE
12113007,Bring It On! (Machine Gun Fellatio album),Q4968269,FALSE
12112766,Impossible Love EP,Q6007479,FALSE
12113692,On Ice (Machine Gun Fellatio album),Q7091017,FALSE
12113241,Paging Mr. Strike,Q7124362,FALSE
24371956,Spastique,Q7573998,FALSE
11925041,Pink Pills,Q7196076,FALSE
11925505,Rapture (The Mavis's album),Q7294388,FALSE
11924945,Venus Returning,Q7920604,FALSE
14700099,Revelations (Red Jezebel album),Q7317845,FALSE
13660687,...art,Q4545153,FALSE
40930075,Dirty Pop Fantasy,Q17001793,FALSE
5416672,Eduardo and Rodriguez Wage War on T-Wrecks,Q5340810,FALSE
58092954,Headroxx,Q117771069,FALSE
12719172,Love and Paranoia,Q6691676,FALSE
5741890,Mish Mash!,Q6875439,FALSE
61986346,The Really Really Really Really Boring Album,Q85808286,FALSE
32688434,Super Happy Fun Times Friends,Q7642019,FALSE
906672,Tu-Plang,Q7850481,FALSE
1070063,Unit (album),Q7887073,FALSE
65906400,0202,Q105038624,FALSE
49243943,Hoops (album),Q22678073,FALSE
57308960,Lo La Ru,Q55390768,FALSE
49243774,The Rubens (album),Q25095653,FALSE
68859496,Been Doin' It for a Bit,Q109297487,FALSE
42481169,Homecoming (Short Stack album),Q111169424,FALSE
69413669,Maybe There's No Heaven,Q111083385,FALSE
22186832,Stack Is the New Black,Q7595946,FALSE
29327828,This Is Bat Country,Q7785773,FALSE
67918447,Here Comes Everybody (album),Q110904206,FALSE
63443735,In the Slight,Q115819091,FALSE
70600499,No Way to Treat an Animal,Q112228345,FALSE
63443716,Sunlight (Spacey Jane album),Q105102533,FALSE
46477556,The Great Impression,Q7737806,FALSE
46477555,Postcards (Sparkadia album),Q20813912,FALSE
2457617,The Flight of Wally Funk,Q7734437,FALSE
2458582,Grand Slam (Spiderbait album),Q5595090,FALSE
2890796,Ivy and the Big Apples,Q6099973,FALSE
2894409,Shashavaglava,Q7490543,FALSE
41084912,Spiderbait (album),Q17055527,FALSE
959768,Tonight Alright,Q7821443,FALSE
3319774,The Unfinished Spanish Galleon of Finley Lake,Q17030153,FALSE
57647565,Idiot Proverbs,Q55391579,FALSE
42820047,Consider This (EP),Q16334993,FALSE
48643609,Limitless (Tonight Alive album),Q23013697,FALSE
39919729,The Other Side (Tonight Alive album),Q15916423,FALSE
55547461,Underworld (Tonight Alive album),Q48791075,FALSE
33876727,What Are You So Scared Of?,Q7990984,FALSE
8128399,Burning at the Mistake,Q4999909,FALSE
8128217,A Small Misunderstanding Leads to Disaster,Q4659607,FALSE
63101040,Everything Is A-OK,Q96340757,FALSE
40717523,Hungry Ghost (album),Q16527882,FALSE
27113563,Violent Soho (album),Q4052708,FALSE
51451746,Waco (album),Q28005708,FALSE
17834791,We Don't Belong Here,Q4053002,FALSE
33096405,Cellulite Soul,Q5058381,FALSE
33676735,Pleasure Syndrome,Q7204302,FALSE
14487198,Black Coats & Bandages,Q4920545,FALSE
14486859,Rua (Clann Zú album),Q7375615,FALSE
54041628,Everything Is Forgotten,Q30673989,FALSE
54041616,Oh Inhuman Spectacle,Q30673984,FALSE
59780068,Triage (Methyl Ethel album),Q65117660,FALSE
58458745,Burn the Ships,Q59325391,FALSE
59511239,Christmas: Live from Phoenix,Q60766776,FALSE
35228066,Crave (For King & Country album),Q5182712,FALSE
65714859,A Drummer Boy Christmas,Q100999345,FALSE
48594027,Into the Silent Night: The EP,Q24037299,FALSE
45097220,Run Wild. Live Free. Love Strong.,Q19867101,FALSE
68990045,What Are We Waiting For?,Q110576507,FALSE
26806428,Blink (Revive album),Q4926733,FALSE
19255273,Chorus of the Saints,Q5105288,FALSE
13694015,Trafalgar Street (album),Q7832428,FALSE
13693777,Where I Belong (Revive album),Q7993271,FALSE
60929355,Amyl and the Sniffers (album),Q85741369,FALSE
68320708,Comfort to Me,Q108572556,FALSE
63060977,The Chats (EP),Q85806751,FALSE
71305700,Get Fucked,Q113635222,FALSE
63046908,Get This in Ya!!,Q85763338,FALSE
63044593,High Risk Behaviour,Q85766505,FALSE
62578727,Hurry Up and Wait (Dune Rats album),Q85767792,FALSE
52903073,The Kids Will Know It's Bullshit,Q42322833,FALSE
70071376,Real Rare Whale,Q113561088,FALSE
8762189,Grinderman (album),Q1953476,FALSE
27613660,Grinderman 2,Q1941202,FALSE
64863266,Grong Grong (album),Q98380444,FALSE
64865625,To Hell 'n' Back,Q104848177,FALSE
55935531,Blend Inn,Q48801810,FALSE
55155137,Boronia (album),Q39075568,FALSE
63105031,Brain Candy (album),Q105062643,FALSE
55935885,Dreamin' (EP),Q24901420,FALSE
1795213,Dirty Sweet,Q5281100,FALSE
643518,Get Born,Q2287834,FALSE
2686406,Rare Tracks (Jet album),Q7294531,FALSE
22557949,Shaka Rock,Q2354727,FALSE
5964280,Shine On (Jet album),Q1972059,FALSE
47609922,High (Royal Headache album),Q25094994,FALSE
65998031,Holiday Food/Everyone Is Good at Something,Q104878154,FALSE
58429575,My Own Mess,Q96394539,FALSE
66527093,Rehearsal (album),Q106362958,FALSE
43727207,Best Seat in the House,Q48834792,FALSE
55775515,Get Some Fun,Q43303031,FALSE
55775443,Individuals (album),Q48840220,FALSE
47235644,Sunnyboys (album),Q20814136,FALSE
55783403,Sunnyboys Real Live,Q48840465,FALSE
55783487,Wildcat (Sunnyboys album),Q48741042,FALSE
42477220,Henge Beat,Q16993914,FALSE
47822622,Typical System,Q24037138,FALSE
15652235,The Best of The Vines,Q7717307,FALSE
31731682,Future Primitive (The Vines album),Q5510744,FALSE
194657,Highly Evolved,Q631015,FALSE
12909766,Melodia (album),Q3854281,FALSE
3783138,Vision Valley,Q2295676,FALSE
43644335,Wicked Nature,Q18042245,FALSE
539079,Winning Days,Q2546962,FALSE
49422754,Don't You Believe What You've Seen or You've Heard,Q24034440,FALSE
14998973,Guilty Until Proven Insane,Q5616396,FALSE
16497666,Hot for the Orient,Q5910719,FALSE
11256992,Living in the 70's,Q6659448,FALSE
15018984,The Lost Album (Skyhooks album),Q7748532,FALSE
14523090,The Birthday Party (The Birthday Party album),Q666658,FALSE
21563008,A Collection (The Birthday Party album),Q16246293,FALSE
8119963,"Door, Door",Q3311515,FALSE
38600989,Drunk on the Pope's Blood/The Agony Is the Ecstacy,Q5309339,FALSE
8123338,Hee Haw (EP),Q3129357,FALSE
4519118,Honeymoon in Red,Q16994253,FALSE
9855713,It's Still Living,Q4274036,FALSE
3533154,Junkyard (album),Q846639,FALSE
46508854,Live 1981–82,Q11762100,FALSE
7621857,Mutiny/The Bad Seed,Q4273887,FALSE
1525212,Prayers on Fire,Q596767,FALSE
4901442,Aion (Dead Can Dance album),Q1933709,FALSE
36695941,Anastasis (album),Q1949866,FALSE
2365693,Dead Can Dance (1981–1998),Q2602639,FALSE
58408757,Dionysus (album),Q57341512,FALSE
2368450,Garden of the Arcane Delights,Q3282120,FALSE
59153590,Garden of the Arcane Delights - The John Peel Sessions,Q60755287,FALSE
38846671,In Concert (Dead Can Dance album),Q16994805,FALSE
2360135,Into the Labyrinth (Dead Can Dance album),Q1934401,FALSE
8641465,Memento (Dead Can Dance album),Q3099397,FALSE
5900156,A Passage in Time (Dead Can Dance album),Q1934385,FALSE
1018861,The Serpent's Egg (album),Q1934237,FALSE
1700809,Spiritchaser,Q375329,FALSE
1013628,Spleen and Ideal,Q1755639,FALSE
1195850,Toward the Within,Q1934269,FALSE
490390,Wake (Dead Can Dance album),Q3175115,FALSE
1015928,Within the Realm of a Dying Sun,Q1934282,FALSE
23551273,Fire & Rain,Q5451290,FALSE
38469409,Gateway to the Mysteries,Q5527317,FALSE
38472619,Healingbow,Q5690328,FALSE
47743770,The Light Between Worlds,Q24807732,FALSE
11623375,Big Bad and Acoustic,Q4904986,FALSE
6731862,Choirboys (album),Q5104083,FALSE
12180453,Dancing on the Grave of Rock n' Roll,Q5215572,FALSE
11580051,Evolver (The Choirboys album),Q5418745,FALSE
11286641,Midnight Sun (The Choirboys album),Q16943132,FALSE
11623455,So Easy (album),Q7549138,FALSE
13719711,Yo-Yo (album),Q8054097,FALSE
61643162,The Dead Daisies discography,Q101209696,FALSE
57044092,Burn It Down (album),Q55606185,FALSE
51647541,The Dead Daisies (album),Q65090241,FALSE
53318100,Live & Louder,Q39052748,FALSE
51513760,Make Some Noise (The Dead Daisies album),Q28429714,FALSE
52951833,Revolución (The Dead Daisies album),Q30667945,FALSE
56973094,Home (Suze DeMarchi album),Q55613885,FALSE
17998668,Telelove,Q17056109,FALSE
39549810,What the Hell Is Going On?,Q17016246,FALSE
7542133,Burn My Eye,Q4999524,FALSE
7540264,Living Eyes (Radio Birdman album),Q3835562,FALSE
7540647,Radios Appear,Q3928874,FALSE
5650672,Zeno Beach,Q8069157,FALSE
6517436,All for One (The Screaming Jets album),Q4729962,FALSE
50635328,Chrome (The Screaming Jets album),Q25096799,FALSE
19728502,Do Ya (album),Q5286296,FALSE
57717433,Gotcha Covered,Q56063428,FALSE
6589571,Heart of the Matter (EP),Q5692432,FALSE
6599875,Hits and Pieces (video),Q16156959,FALSE
6527239,Live Forever (The Screaming Jets album),Q6655139,FALSE
6526644,Scam (album),Q7429851,FALSE
6517734,The Screaming Jets (album),Q7762696,FALSE
719901,Tear of Thought,Q7691745,FALSE
6526124,World Gone Crazy (The Screaming Jets album),Q8035779,FALSE
27682433,Rick Springfield discography,Q7331765,FALSE
50229551,Beautiful Feelings,Q24078425,FALSE
45006495,Beginnings (Rick Springfield album),Q19571002,FALSE
56098971,Christmas with You (Rick Springfield album),Q48805953,FALSE
45017413,Comic Book Heroes,Q19892278,FALSE
31106813,The Day After Yesterday,Q7729153,FALSE
19944200,Hard to Hold,Q5655639,FALSE
31480422,Karma (Rick Springfield album),Q6372654,FALSE
5803984,Living in Oz,Q6659411,FALSE
40099605,Playlist: The Very Best of Rick Springfield,Q16967244,FALSE
31463144,Rock of Life,Q7354850,FALSE
50275700,Rocket Science (Rick Springfield album),Q39069675,FALSE
33464694,Shock/Denial/Anger/Acceptance,Q7499813,FALSE
47614202,Songs for the End of the World,Q24037430,FALSE
47614198,Stripped Down,Q24034435,FALSE
5803882,Success Hasn't Spoiled Me Yet,Q7632572,FALSE
11424632,Tao (album),Q5227532,FALSE
20172888,Venus in Overdrive,Q16960075,FALSE
31435165,Wait for Night,Q7960418,FALSE
533888,Working Class Dog,Q8034898,FALSE
17693081,All That Fall (album),Q4729723,FALSE
